preflight	netns_present	nrsc	station1/ce-a	check	PASS				
preflight	netns_present	sac	station2/ce-b	check	PASS				
preflight	netns_present	mauritius	station1/ce-mauritius	check	PASS				
preflight	netns_present	mcf	station2/ce-mcf	check	PASS				
S1_ce_lo_mesh	ping_ce_lo	nrsc:10.100.1.1	sac:10.100.2.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	nrsc:10.100.1.1	mauritius:10.100.3.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	nrsc:10.100.1.1	mcf:10.100.4.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	sac:10.100.2.1	nrsc:10.100.1.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	sac:10.100.2.1	mauritius:10.100.3.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	sac:10.100.2.1	mcf:10.100.4.1	icmp	PASS	0.238	0		
S1_ce_lo_mesh	ping_ce_lo	mauritius:10.100.3.1	nrsc:10.100.1.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	mauritius:10.100.3.1	sac:10.100.2.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	mauritius:10.100.3.1	mcf:10.100.4.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	mcf:10.100.4.1	nrsc:10.100.1.1	icmp	FAIL		100		100% loss or unreachable
S1_ce_lo_mesh	ping_ce_lo	mcf:10.100.4.1	sac:10.100.2.1	icmp	PASS	0.188	0		
S1_ce_lo_mesh	ping_ce_lo	mcf:10.100.4.1	mauritius:10.100.3.1	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	nrsc-ws	sac-ws:10.101.2.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	nrsc-ws	mauritius-ws:10.101.3.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	nrsc-ws	mcf-ws:10.101.4.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	sac-ws	nrsc-ws:10.101.1.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	sac-ws	mauritius-ws:10.101.3.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	sac-ws	mcf-ws:10.101.4.2	icmp	PASS	0.335	0		
S2_lan_ws_mesh	ping_lan_ws	mauritius-ws	nrsc-ws:10.101.1.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	mauritius-ws	sac-ws:10.101.2.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	mauritius-ws	mcf-ws:10.101.4.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	mcf-ws	nrsc-ws:10.101.1.2	icmp	FAIL		100		100% loss or unreachable
S2_lan_ws_mesh	ping_lan_ws	mcf-ws	sac-ws:10.101.2.2	icmp	PASS	0.262	0		
S2_lan_ws_mesh	ping_lan_ws	mcf-ws	mauritius-ws:10.101.3.2	icmp	FAIL		100		100% loss or unreachable
