asn,asn_name,start_time,duration_sec,datasource,method,score,event_type,source
9304,AS9304 (HUTCHISON-AS-AP),2026-07-05T02:20:00+00:00,682800,bgp,median,12605.160070241795,bgp_outage,ioda_bgp
44559,AS44559 (ITHOSTLINE),2026-07-05T02:45:00+00:00,681300,bgp,median,11939.402324294411,bgp_outage,ioda_bgp
206375,AS206375 (NETSPEED),2026-07-05T06:30:00+00:00,667800,bgp,median,32735.294117647056,bgp_outage,ioda_bgp
29256,AS29256 (INT-PDN-STE-AS),2026-07-05T09:55:00+00:00,655500,bgp,median,18620.50599201065,bgp_outage,ioda_bgp
14315,AS14315 (1GSERVERS),2026-07-05T10:55:00+00:00,651900,bgp,median,169011.1111111111,bgp_outage,ioda_bgp
45839,AS45839 (SHINJIRU-MY-AS-AP),2026-07-05T11:50:00+00:00,648600,bgp,median,469525.2525252526,bgp_outage,ioda_bgp
34918,AS34918 (PISHGAMAN-DATACENTER),2026-07-05T15:20:00+00:00,636000,bgp,median,16307.692307692309,bgp_outage,ioda_bgp
10299,AS10299 (),2026-07-05T17:35:00+00:00,627900,bgp,median,49538.46153846154,bgp_outage,ioda_bgp
28656,AS28656 (),2026-07-05T21:30:00+00:00,613800,bgp,median,143578.94736842104,bgp_outage,ioda_bgp
29713,AS29713 (ELIA-60),2026-07-05T23:00:00+00:00,608400,bgp,median,101400.0,bgp_outage,ioda_bgp
400618,AS400618 (PRIME-SEC),2026-07-06T02:10:00+00:00,597000,bgp,median,30151.515151515152,bgp_outage,ioda_bgp
398704,AS398704 (STACKS-INC-01),2026-07-06T03:05:00+00:00,181500,bgp,median,3781.25,bgp_outage,ioda_bgp
15149,AS15149 (EZZI-101-BGP),2026-07-06T04:45:00+00:00,587700,bgp,median,237454.54545454544,bgp_outage,ioda_bgp
17483,AS17483 (CITYON-AS-AP),2026-07-06T05:05:00+00:00,586500,bgp,median,18443.396226415094,bgp_outage,ioda_bgp
48330,AS48330 (GIGANET-UA-AS),2026-07-06T06:00:00+00:00,583200,bgp,median,379317.0731707317,bgp_outage,ioda_bgp
203217,AS203217 (HZ),2026-07-06T07:50:00+00:00,576600,bgp,median,12986.486486486487,bgp_outage,ioda_bgp
