timestamp,bgp_update_rate
2026-07-08 00:00:00+00:00,59319
2026-07-08 00:01:00+00:00,31707
2026-07-08 00:02:00+00:00,36210
2026-07-08 00:03:00+00:00,24881
2026-07-08 00:04:00+00:00,27455
2026-07-08 00:05:00+00:00,24676
2026-07-08 00:06:00+00:00,41740
2026-07-08 00:07:00+00:00,27854
2026-07-08 00:08:00+00:00,23223
2026-07-08 00:09:00+00:00,22049
2026-07-08 00:10:00+00:00,24615
2026-07-08 00:11:00+00:00,20926
2026-07-08 00:12:00+00:00,28194
2026-07-08 00:13:00+00:00,31630
2026-07-08 00:14:00+00:00,22311
2026-07-08 00:15:00+00:00,254
2026-07-08 06:00:00+00:00,43396
2026-07-08 06:01:00+00:00,30637
2026-07-08 06:02:00+00:00,24746
2026-07-08 06:03:00+00:00,22705
2026-07-08 06:04:00+00:00,25767
2026-07-08 06:05:00+00:00,19284
2026-07-08 06:06:00+00:00,19252
2026-07-08 06:07:00+00:00,21024
2026-07-08 06:08:00+00:00,21026
2026-07-08 06:09:00+00:00,24523
2026-07-08 06:10:00+00:00,28862
2026-07-08 06:11:00+00:00,26386
2026-07-08 06:12:00+00:00,21455
2026-07-08 06:13:00+00:00,23866
2026-07-08 06:14:00+00:00,33983
2026-07-08 06:15:00+00:00,137
2026-07-08 12:00:00+00:00,73182
2026-07-08 12:01:00+00:00,28711
2026-07-08 12:02:00+00:00,32610
2026-07-08 12:03:00+00:00,34329
2026-07-08 12:04:00+00:00,30849
2026-07-08 12:05:00+00:00,25862
2026-07-08 12:06:00+00:00,29752
2026-07-08 12:07:00+00:00,28809
2026-07-08 12:08:00+00:00,27567
2026-07-08 12:09:00+00:00,30918
2026-07-08 12:10:00+00:00,27358
2026-07-08 12:11:00+00:00,26790
2026-07-08 12:12:00+00:00,30593
2026-07-08 12:13:00+00:00,33055
2026-07-08 12:14:00+00:00,28156
2026-07-08 12:15:00+00:00,162
2026-07-08 18:00:00+00:00,60448
2026-07-08 18:01:00+00:00,48739
2026-07-08 18:02:00+00:00,43227
2026-07-08 18:03:00+00:00,47300
2026-07-08 18:04:00+00:00,33588
2026-07-08 18:05:00+00:00,27188
2026-07-08 18:06:00+00:00,32819
2026-07-08 18:07:00+00:00,28373
2026-07-08 18:08:00+00:00,28922
2026-07-08 18:09:00+00:00,26459
2026-07-08 18:10:00+00:00,23181
2026-07-08 18:11:00+00:00,30625
2026-07-08 18:12:00+00:00,38499
2026-07-08 18:13:00+00:00,39397
2026-07-08 18:14:00+00:00,47054
2026-07-08 18:15:00+00:00,112
2026-07-09 00:00:00+00:00,40169
2026-07-09 00:01:00+00:00,31836
2026-07-09 00:02:00+00:00,25223
2026-07-09 00:03:00+00:00,23280
2026-07-09 00:04:00+00:00,24268
2026-07-09 00:05:00+00:00,21143
2026-07-09 00:06:00+00:00,22932
2026-07-09 00:07:00+00:00,38794
2026-07-09 00:08:00+00:00,22116
2026-07-09 00:09:00+00:00,22394
2026-07-09 00:10:00+00:00,28833
2026-07-09 00:11:00+00:00,41025
2026-07-09 00:12:00+00:00,33161
2026-07-09 00:13:00+00:00,28737
2026-07-09 00:14:00+00:00,24144
2026-07-09 00:15:00+00:00,144
2026-07-09 06:00:00+00:00,69170
2026-07-09 06:01:00+00:00,33111
2026-07-09 06:02:00+00:00,30931
2026-07-09 06:03:00+00:00,25871
2026-07-09 06:04:00+00:00,26321
2026-07-09 06:05:00+00:00,27987
2026-07-09 06:06:00+00:00,22514
2026-07-09 06:07:00+00:00,22350
2026-07-09 06:08:00+00:00,22548
2026-07-09 06:09:00+00:00,20086
2026-07-09 06:10:00+00:00,24986
2026-07-09 06:11:00+00:00,21066
2026-07-09 06:12:00+00:00,31665
2026-07-09 06:13:00+00:00,28090
2026-07-09 06:14:00+00:00,22730
2026-07-09 06:15:00+00:00,103
2026-07-09 12:00:00+00:00,37210
2026-07-09 12:01:00+00:00,29276
2026-07-09 12:02:00+00:00,26306
2026-07-09 12:03:00+00:00,30507
2026-07-09 12:04:00+00:00,34079
2026-07-09 12:05:00+00:00,33094
2026-07-09 12:06:00+00:00,25139
2026-07-09 12:07:00+00:00,21635
2026-07-09 12:08:00+00:00,23836
2026-07-09 12:09:00+00:00,42258
2026-07-09 12:10:00+00:00,97334
2026-07-09 12:11:00+00:00,126896
2026-07-09 12:12:00+00:00,25322
2026-07-09 12:13:00+00:00,25076
2026-07-09 12:14:00+00:00,25226
2026-07-09 12:15:00+00:00,283
2026-07-09 18:00:00+00:00,77209
2026-07-09 18:01:00+00:00,31841
2026-07-09 18:02:00+00:00,30642
2026-07-09 18:03:00+00:00,27971
2026-07-09 18:04:00+00:00,41384
2026-07-09 18:05:00+00:00,24658
2026-07-09 18:06:00+00:00,19884
2026-07-09 18:07:00+00:00,35982
2026-07-09 18:08:00+00:00,31904
2026-07-09 18:09:00+00:00,40301
2026-07-09 18:10:00+00:00,40684
2026-07-09 18:11:00+00:00,43277
2026-07-09 18:12:00+00:00,38350
2026-07-09 18:13:00+00:00,45806
2026-07-09 18:14:00+00:00,40635
2026-07-09 18:15:00+00:00,14
2026-07-10 00:00:00+00:00,53052
2026-07-10 00:01:00+00:00,45430
2026-07-10 00:02:00+00:00,35192
2026-07-10 00:03:00+00:00,34023
2026-07-10 00:04:00+00:00,33450
2026-07-10 00:05:00+00:00,29253
2026-07-10 00:06:00+00:00,33340
2026-07-10 00:07:00+00:00,24447
2026-07-10 00:08:00+00:00,26197
2026-07-10 00:09:00+00:00,25268
2026-07-10 00:10:00+00:00,25960
2026-07-10 00:11:00+00:00,28209
2026-07-10 00:12:00+00:00,28066
2026-07-10 00:13:00+00:00,36529
2026-07-10 00:14:00+00:00,31762
2026-07-10 00:15:00+00:00,21
2026-07-10 06:00:00+00:00,60113
2026-07-10 06:01:00+00:00,41902
2026-07-10 06:02:00+00:00,38758
2026-07-10 06:03:00+00:00,31926
2026-07-10 06:04:00+00:00,40454
2026-07-10 06:05:00+00:00,37143
2026-07-10 06:06:00+00:00,30024
2026-07-10 06:07:00+00:00,36203
2026-07-10 06:08:00+00:00,34640
2026-07-10 06:09:00+00:00,26302
2026-07-10 06:10:00+00:00,31775
2026-07-10 06:11:00+00:00,32562
2026-07-10 06:12:00+00:00,32093
2026-07-10 06:13:00+00:00,29510
2026-07-10 06:14:00+00:00,29926
2026-07-10 06:15:00+00:00,288
2026-07-10 12:00:00+00:00,45339
2026-07-10 12:01:00+00:00,26958
2026-07-10 12:02:00+00:00,37608
2026-07-10 12:03:00+00:00,45320
2026-07-10 12:04:00+00:00,38406
2026-07-10 12:05:00+00:00,29634
2026-07-10 12:06:00+00:00,25644
2026-07-10 12:07:00+00:00,26331
2026-07-10 12:08:00+00:00,27479
2026-07-10 12:09:00+00:00,25489
2026-07-10 12:10:00+00:00,31552
2026-07-10 12:11:00+00:00,22128
2026-07-10 12:12:00+00:00,24547
