timestamp,metric,value
2026-07-14T05:31:12.049352+00:00,ifInOctets,455913
2026-07-14T05:31:12.049352+00:00,ifOutOctets,782461
2026-07-14T05:31:28.093325+00:00,ifInOctets,472644
2026-07-14T05:31:28.093325+00:00,ifOutOctets,823931
2026-07-14T05:31:44.370545+00:00,ifInOctets,482680
2026-07-14T05:31:44.370545+00:00,ifOutOctets,851729
2026-07-14T05:32:00.596766+00:00,ifInOctets,489562
2026-07-14T05:32:00.596766+00:00,ifOutOctets,877086
2026-07-14T05:32:16.733516+00:00,ifInOctets,498245
2026-07-14T05:32:16.733516+00:00,ifOutOctets,904130
2026-07-14T05:32:32.908025+00:00,ifInOctets,506827
2026-07-14T05:32:32.908025+00:00,ifOutOctets,936724
2026-07-14T05:32:48.990504+00:00,ifInOctets,512817
2026-07-14T05:32:48.990504+00:00,ifOutOctets,961666
2026-07-14T05:33:05.275556+00:00,ifInOctets,518927
2026-07-14T05:33:05.275556+00:00,ifOutOctets,988511
2026-07-14T05:33:21.297036+00:00,ifInOctets,525748
2026-07-14T05:33:21.297036+00:00,ifOutOctets,1013453
2026-07-14T05:33:37.623528+00:00,ifInOctets,533774
2026-07-14T05:33:37.623528+00:00,ifOutOctets,1045549
2026-07-14T05:33:54.214934+00:00,ifInOctets,541884
2026-07-14T05:33:54.214934+00:00,ifOutOctets,1072642
2026-07-14T05:34:10.499658+00:00,ifInOctets,549132
2026-07-14T05:34:10.499658+00:00,ifOutOctets,1097808
2026-07-14T05:34:26.784160+00:00,ifInOctets,556305
2026-07-14T05:34:26.784160+00:00,ifOutOctets,1124271
2026-07-14T05:34:42.972423+00:00,ifInOctets,563520
2026-07-14T05:34:42.972423+00:00,ifOutOctets,1156367
2026-07-14T05:34:59.182301+00:00,ifInOctets,569851
2026-07-14T05:34:59.182301+00:00,ifOutOctets,1181409
2026-07-14T05:35:15.419897+00:00,ifInOctets,577640
2026-07-14T05:35:15.419897+00:00,ifOutOctets,1207636
2026-07-14T05:35:31.650135+00:00,ifInOctets,583916
2026-07-14T05:35:31.650135+00:00,ifOutOctets,1232778
2026-07-14T05:35:47.777753+00:00,ifInOctets,592523
2026-07-14T05:35:47.777753+00:00,ifOutOctets,1265206
2026-07-14T05:36:03.850432+00:00,ifInOctets,599258
2026-07-14T05:36:03.850432+00:00,ifOutOctets,1291869
2026-07-14T05:36:19.929906+00:00,ifInOctets,606979
2026-07-14T05:36:19.929906+00:00,ifOutOctets,1316811
2026-07-14T05:36:35.962941+00:00,ifInOctets,613401
2026-07-14T05:36:35.962941+00:00,ifOutOctets,1343364
2026-07-14T05:36:51.964358+00:00,ifInOctets,619990
2026-07-14T05:36:51.964358+00:00,ifOutOctets,1368223
2026-07-14T05:37:07.967299+00:00,ifInOctets,628125
2026-07-14T05:37:07.967299+00:00,ifOutOctets,1400485
2026-07-14T05:37:23.977841+00:00,ifInOctets,636778
2026-07-14T05:37:23.977841+00:00,ifOutOctets,1425676
2026-07-14T05:37:40.225332+00:00,ifInOctets,645736
2026-07-14T05:37:40.225332+00:00,ifOutOctets,1453003
2026-07-14T05:37:56.267405+00:00,ifInOctets,653779
2026-07-14T05:37:56.267405+00:00,ifOutOctets,1478477
2026-07-14T05:38:12.393035+00:00,ifInOctets,662407
2026-07-14T05:38:12.393035+00:00,ifOutOctets,1505621
2026-07-14T05:38:28.649790+00:00,ifInOctets,671565
2026-07-14T05:38:28.649790+00:00,ifOutOctets,1537800
2026-07-14T05:38:45.308544+00:00,ifInOctets,677736
2026-07-14T05:38:45.308544+00:00,ifOutOctets,1562922
2026-07-14T05:39:01.620321+00:00,ifInOctets,684964
2026-07-14T05:39:01.620321+00:00,ifOutOctets,1590201
2026-07-14T05:39:17.907504+00:00,ifInOctets,694734
2026-07-14T05:39:17.907504+00:00,ifOutOctets,1622844
2026-07-14T05:39:34.084335+00:00,ifInOctets,700496
2026-07-14T05:39:34.084335+00:00,ifOutOctets,1647703
2026-07-14T05:39:50.270454+00:00,ifInOctets,706245
2026-07-14T05:39:50.270454+00:00,ifOutOctets,1674166
2026-07-14T05:40:07.030768+00:00,ifInOctets,711947
2026-07-14T05:40:07.030768+00:00,ifOutOctets,1699025
2026-07-14T05:40:23.082156+00:00,ifInOctets,721605
2026-07-14T05:40:23.082156+00:00,ifOutOctets,1731470
2026-07-14T05:40:39.319455+00:00,ifInOctets,727713
2026-07-14T05:40:39.319455+00:00,ifOutOctets,1757933
2026-07-14T05:40:55.598173+00:00,ifInOctets,733596
2026-07-14T05:40:55.598173+00:00,ifOutOctets,1782792
2026-07-14T05:41:11.685838+00:00,ifInOctets,739512
2026-07-14T05:41:11.685838+00:00,ifOutOctets,1809428
2026-07-14T05:41:27.952027+00:00,ifInOctets,748292
2026-07-14T05:41:27.952027+00:00,ifOutOctets,1841607
2026-07-14T05:41:44.231185+00:00,ifInOctets,754499
2026-07-14T05:41:44.231185+00:00,ifOutOctets,1866632
2026-07-14T05:42:00.458276+00:00,ifInOctets,761399
2026-07-14T05:42:00.458276+00:00,ifOutOctets,1893042
