fault_type,fault_start,breach_time,run_id
congestion_breach,2026-07-13T10:48:17.820456+00:00,2026-07-13T10:57:30.237215+00:00,real_congestion_breach_001
bgp_route_flap,2026-07-13T11:22:24.818818+00:00,2026-07-13T11:32:15.136668+00:00,real_bgp_route_flap_002
tunnel_degradation,2026-07-13T11:55:47.504033+00:00,2026-07-13T12:05:03.681269+00:00,real_tunnel_degradation_003
bgp_route_flap,2026-07-13T13:01:17.626503+00:00,2026-07-13T13:08:31.722485+00:00,real_bgp_route_flap_004
congestion_breach,2026-07-13T14:04:03.231354+00:00,2026-07-13T14:18:07.613181+00:00,real_congestion_breach_006
tunnel_degradation,2026-07-13T16:21:51.074438+00:00,2026-07-13T16:29:36.842002+00:00,real_tunnel_degradation_008
tunnel_degradation,2026-07-13T16:54:50.325919+00:00,2026-07-13T17:01:50.478006+00:00,real_tunnel_degradation_009
bgp_route_flap,2026-07-13T17:26:44.684768+00:00,2026-07-13T17:36:47.398045+00:00,real_bgp_route_flap_010
congestion_breach,2026-07-13T18:00:00.685984+00:00,2026-07-13T18:11:09.549106+00:00,real_congestion_breach_011
bgp_route_flap,2026-07-13T19:03:04.435143+00:00,2026-07-13T19:10:27.101767+00:00,real_bgp_route_flap_013
tunnel_degradation,2026-07-13T19:28:39.725091+00:00,2026-07-13T19:34:18.752743+00:00,real_tunnel_degradation_014
congestion_breach,2026-07-13T20:34:04.921413+00:00,2026-07-13T20:41:55.876330+00:00,real_congestion_breach_016
congestion_breach,2026-07-13T21:35:30.822436+00:00,2026-07-13T21:47:11.002077+00:00,real_congestion_breach_018
bgp_route_flap,2026-07-13T22:08:56.200502+00:00,2026-07-13T22:18:45.649906+00:00,real_bgp_route_flap_019
tunnel_degradation,2026-07-13T22:40:57.859958+00:00,2026-07-13T22:49:26.035300+00:00,real_tunnel_degradation_020
congestion_breach,2026-07-13T23:42:36.252589+00:00,2026-07-13T23:56:46.907947+00:00,real_congestion_breach_022
vrf_leakage,2026-07-14T04:01:11.227653+00:00,2026-07-14T04:06:37.157734+00:00,real_vrf_leakage_023
vrf_leakage,2026-07-14T04:37:13.810953+00:00,2026-07-14T04:42:26.377503+00:00,real_vrf_leakage_024
vrf_leakage,2026-07-14T05:06:52.618680+00:00,2026-07-14T05:12:13.411710+00:00,real_vrf_leakage_025
vrf_leakage,2026-07-14T06:43:35.518968+00:00,2026-07-14T06:50:32.327039+00:00,real_vrf_leakage_026
vrf_leakage,2026-07-14T07:20:23.163374+00:00,2026-07-14T07:23:31.308722+00:00,real_vrf_leakage_027
