fault_type,fault_start,breach_time,run_id
vrf_leakage,2026-07-14T17:18:35.719801+00:00,2026-07-14T17:22:04.854765+00:00,real_vrf_leakage_001
congestion_breach,2026-07-14T17:44:23.645137+00:00,2026-07-14T17:57:06.257579+00:00,real_congestion_breach_002
tunnel_degradation,2026-07-14T18:25:36.635228+00:00,2026-07-14T18:32:22.917048+00:00,real_tunnel_degradation_003
bgp_route_flap,2026-07-14T18:58:57.710353+00:00,2026-07-14T19:09:51.103531+00:00,real_bgp_route_flap_004
bgp_route_flap,2026-07-14T19:28:32.516236+00:00,2026-07-14T19:35:49.570631+00:00,real_bgp_route_flap_005
vrf_leakage,2026-07-14T19:57:48.864716+00:00,2026-07-14T20:01:49.275281+00:00,real_vrf_leakage_006
congestion_breach,2026-07-14T20:23:10.316364+00:00,2026-07-14T20:34:06.733050+00:00,real_congestion_breach_007
tunnel_degradation,2026-07-14T20:58:13.198752+00:00,2026-07-14T21:06:01.235317+00:00,real_tunnel_degradation_008
congestion_breach,2026-07-14T21:36:54.275894+00:00,2026-07-14T21:50:50.603321+00:00,real_congestion_breach_009
bgp_route_flap,2026-07-14T22:11:50.619597+00:00,2026-07-14T22:22:37.423113+00:00,real_bgp_route_flap_010
vrf_leakage,2026-07-14T22:43:46.416903+00:00,2026-07-14T22:49:31.016280+00:00,real_vrf_leakage_011
tunnel_degradation,2026-07-14T23:20:06.417610+00:00,2026-07-14T23:28:46.539435+00:00,real_tunnel_degradation_012
vrf_leakage,2026-07-14T23:54:08.940743+00:00,2026-07-14T23:57:40.187091+00:00,real_vrf_leakage_013
bgp_route_flap,2026-07-15T00:24:31.797868+00:00,2026-07-15T00:35:36.904736+00:00,real_bgp_route_flap_014
tunnel_degradation,2026-07-15T01:02:27.796521+00:00,2026-07-15T01:09:42.631277+00:00,real_tunnel_degradation_015
congestion_breach,2026-07-15T01:35:45.507699+00:00,2026-07-15T01:42:50.001078+00:00,real_congestion_breach_016
congestion_breach,2026-07-15T02:05:39.825379+00:00,2026-07-15T02:17:14.296124+00:00,real_congestion_breach_017
vrf_leakage,2026-07-15T02:38:11.160662+00:00,2026-07-15T02:44:46.691164+00:00,real_vrf_leakage_018
bgp_route_flap,2026-07-15T03:11:44.298697+00:00,2026-07-15T03:23:13.547070+00:00,real_bgp_route_flap_019
tunnel_degradation,2026-07-15T03:45:39.964093+00:00,2026-07-15T03:53:59.850214+00:00,real_tunnel_degradation_020
tunnel_degradation,2026-07-15T04:16:13.393506+00:00,2026-07-15T04:23:12.746307+00:00,real_tunnel_degradation_021
bgp_route_flap,2026-07-15T04:44:34.030487+00:00,2026-07-15T04:53:06.496612+00:00,real_bgp_route_flap_022
vrf_leakage,2026-07-15T05:11:14.867368+00:00,2026-07-15T05:15:41.376228+00:00,real_vrf_leakage_023
congestion_breach,2026-07-15T05:49:33.314905+00:00,2026-07-15T05:56:05.777058+00:00,real_congestion_breach_024
tunnel_degradation,2026-07-15T06:27:57.614396+00:00,2026-07-15T06:33:22.362061+00:00,real_tunnel_degradation_025
bgp_route_flap,2026-07-15T06:57:35.413313+00:00,2026-07-15T07:09:35.452774+00:00,real_bgp_route_flap_026
congestion_breach,2026-07-15T07:28:26.011345+00:00,2026-07-15T07:39:12.821926+00:00,real_congestion_breach_027
vrf_leakage,2026-07-15T08:01:45.499520+00:00,2026-07-15T08:09:32.507440+00:00,real_vrf_leakage_028
tunnel_degradation,2026-07-15T08:38:10.159657+00:00,2026-07-15T08:46:02.854245+00:00,real_tunnel_degradation_029
bgp_route_flap,2026-07-15T09:05:19.813423+00:00,2026-07-15T09:12:10.863807+00:00,real_bgp_route_flap_030
vrf_leakage,2026-07-15T09:36:46.029371+00:00,2026-07-15T09:41:02.085607+00:00,real_vrf_leakage_031
congestion_breach,2026-07-15T10:11:01.962772+00:00,2026-07-15T10:24:38.528285+00:00,real_congestion_breach_032
vrf_leakage,2026-07-15T10:48:05.032299+00:00,2026-07-15T10:52:07.938518+00:00,real_vrf_leakage_033
tunnel_degradation,2026-07-15T11:17:10.385414+00:00,2026-07-15T11:22:27.744811+00:00,real_tunnel_degradation_034
bgp_route_flap,2026-07-15T11:41:35.907218+00:00,2026-07-15T11:53:01.155677+00:00,real_bgp_route_flap_035
congestion_breach,2026-07-15T12:18:05.057954+00:00,2026-07-15T12:25:20.564213+00:00,real_congestion_breach_036
bgp_route_flap,2026-07-15T12:46:31.483392+00:00,2026-07-15T12:58:28.109078+00:00,real_bgp_route_flap_037
vrf_leakage,2026-07-15T13:23:22.337631+00:00,2026-07-15T13:30:33.302447+00:00,real_vrf_leakage_038
tunnel_degradation,2026-07-15T13:57:26.174934+00:00,2026-07-15T14:03:17.095353+00:00,real_tunnel_degradation_039
congestion_breach,2026-07-15T14:24:18.049670+00:00,2026-07-15T14:35:03.073440+00:00,real_congestion_breach_040
