event_id,fault_type,circumstance_start,breach_time,recovery_time,precursor_minutes,breach_minutes,run_id
1,congestion_breach,2026-07-15T19:31:46.736945+00:00,2026-07-15T19:45:30.247962+00:00,2026-07-15T19:50:25.826306+00:00,13.725,4.926,real_congestion_breach_001
2,tunnel_degradation,2026-07-15T20:11:26.881586+00:00,2026-07-15T20:17:00.060107+00:00,2026-07-15T20:22:57.619435+00:00,5.553,5.959,real_tunnel_degradation_002
3,bgp_route_flap,2026-07-15T20:37:34.822123+00:00,2026-07-15T20:46:08.499057+00:00,2026-07-15T20:47:35.858228+00:00,8.561,1.456,real_bgp_route_flap_003
4,vrf_leakage,2026-07-15T21:09:54.951304+00:00,2026-07-15T21:14:33.242877+00:00,2026-07-15T21:22:57.736489+00:00,4.638,8.408,real_vrf_leakage_004
5,congestion_breach,2026-07-15T21:41:27.860857+00:00,2026-07-15T21:53:11.257067+00:00,2026-07-15T21:58:57.277140+00:00,11.723,5.767,real_congestion_breach_005
6,tunnel_degradation,2026-07-15T22:15:57.017575+00:00,2026-07-15T22:23:38.252773+00:00,2026-07-15T22:26:59.515384+00:00,7.687,3.354,real_tunnel_degradation_006
7,bgp_route_flap,2026-07-15T22:44:08.839682+00:00,2026-07-15T22:50:39.614119+00:00,2026-07-15T22:52:31.591795+00:00,6.513,1.866,real_bgp_route_flap_007
8,vrf_leakage,2026-07-15T23:07:33.470072+00:00,2026-07-15T23:12:56.777439+00:00,2026-07-15T23:19:35.051376+00:00,5.388,6.638,real_vrf_leakage_008
9,tunnel_degradation,2026-07-15T23:37:28.831110+00:00,2026-07-15T23:44:11.355295+00:00,2026-07-15T23:47:30.491326+00:00,6.709,3.319,real_tunnel_degradation_009
10,bgp_route_flap,2026-07-16T00:04:41.383319+00:00,2026-07-16T00:10:46.067984+00:00,2026-07-16T00:11:49.086669+00:00,6.078,1.050,real_bgp_route_flap_010
11,vrf_leakage,2026-07-16T00:31:57.129626+00:00,2026-07-16T00:40:15.734612+00:00,2026-07-16T00:44:40.180346+00:00,8.310,4.407,real_vrf_leakage_011
12,congestion_breach,2026-07-16T01:02:02.369652+00:00,2026-07-16T01:13:21.223502+00:00,2026-07-16T01:18:03.718599+00:00,11.314,4.708,real_congestion_breach_012
13,vrf_leakage,2026-07-16T01:37:50.913466+00:00,2026-07-16T01:44:05.684073+00:00,2026-07-16T01:51:22.879172+00:00,6.246,7.287,real_vrf_leakage_013
14,tunnel_degradation,2026-07-16T02:08:26.487175+00:00,2026-07-16T02:15:54.525065+00:00,2026-07-16T02:20:09.051109+00:00,7.467,4.242,real_tunnel_degradation_014
15,bgp_route_flap,2026-07-16T02:40:43.485239+00:00,2026-07-16T02:48:11.791050+00:00,2026-07-16T02:49:47.996293+00:00,7.472,1.603,real_bgp_route_flap_015
16,congestion_breach,2026-07-16T03:07:00.507452+00:00,2026-07-16T03:15:40.335676+00:00,2026-07-16T03:22:06.747359+00:00,8.664,6.440,real_congestion_breach_016
17,congestion_breach,2026-07-16T03:39:53.948672+00:00,2026-07-16T03:48:00.404951+00:00,2026-07-16T03:54:37.329779+00:00,8.108,6.615,real_congestion_breach_017
18,tunnel_degradation,2026-07-16T04:15:25.331877+00:00,2026-07-16T04:20:57.811477+00:00,2026-07-16T04:26:50.896126+00:00,5.541,5.885,real_tunnel_degradation_018
19,vrf_leakage,2026-07-16T05:07:29.417212+00:00,2026-07-16T05:16:11.657740+00:00,2026-07-16T05:23:16.326897+00:00,8.704,7.078,real_vrf_leakage_019
20,bgp_route_flap,2026-07-16T05:40:45.019897+00:00,2026-07-16T05:49:26.717976+00:00,2026-07-16T05:50:49.179429+00:00,8.695,1.374,real_bgp_route_flap_020
