fault_type,fault_start,breach_time,run_id
precursor_aborted,2026-07-15T19:23:21.461938+00:00,2026-07-15T19:24:08.529060+00:00,real_near_miss_001
congestion_breach,2026-07-15T19:31:46.736945+00:00,2026-07-15T19:45:30.247962+00:00,real_congestion_breach_001
tunnel_degradation,2026-07-15T20:11:26.881586+00:00,2026-07-15T20:17:00.060107+00:00,real_tunnel_degradation_002
bgp_route_flap,2026-07-15T20:37:34.822123+00:00,2026-07-15T20:46:08.499057+00:00,real_bgp_route_flap_003
vrf_leakage,2026-07-15T21:09:54.951304+00:00,2026-07-15T21:14:33.242877+00:00,real_vrf_leakage_004
congestion_breach,2026-07-15T21:41:27.860857+00:00,2026-07-15T21:53:11.257067+00:00,real_congestion_breach_005
precursor_aborted,2026-07-15T22:08:57.583399+00:00,2026-07-15T22:09:45.523711+00:00,real_near_miss_006
tunnel_degradation,2026-07-15T22:15:57.017575+00:00,2026-07-15T22:23:38.252773+00:00,real_tunnel_degradation_006
bgp_route_flap,2026-07-15T22:44:08.839682+00:00,2026-07-15T22:50:39.614119+00:00,real_bgp_route_flap_007
precursor_aborted,2026-07-15T23:01:48.355528+00:00,2026-07-15T23:02:26.305890+00:00,real_near_miss_008
vrf_leakage,2026-07-15T23:07:33.470072+00:00,2026-07-15T23:12:56.777439+00:00,real_vrf_leakage_008
tunnel_degradation,2026-07-15T23:37:28.831110+00:00,2026-07-15T23:44:11.355295+00:00,real_tunnel_degradation_009
bgp_route_flap,2026-07-16T00:04:41.383319+00:00,2026-07-16T00:10:46.067984+00:00,real_bgp_route_flap_010
vrf_leakage,2026-07-16T00:31:57.129626+00:00,2026-07-16T00:40:15.734612+00:00,real_vrf_leakage_011
precursor_aborted,2026-07-16T00:55:16.097713+00:00,2026-07-16T00:55:58.930202+00:00,real_near_miss_012
congestion_breach,2026-07-16T01:02:02.369652+00:00,2026-07-16T01:13:21.223502+00:00,real_congestion_breach_012
precursor_aborted,2026-07-16T01:29:51.446563+00:00,2026-07-16T01:30:45.446871+00:00,real_near_miss_013
vrf_leakage,2026-07-16T01:37:50.913466+00:00,2026-07-16T01:44:05.684073+00:00,real_vrf_leakage_013
precursor_aborted,2026-07-16T02:01:42.454870+00:00,2026-07-16T02:02:27.891142+00:00,real_near_miss_014
tunnel_degradation,2026-07-16T02:08:26.487175+00:00,2026-07-16T02:15:54.525065+00:00,real_tunnel_degradation_014
bgp_route_flap,2026-07-16T02:40:43.485239+00:00,2026-07-16T02:48:11.791050+00:00,real_bgp_route_flap_015
congestion_breach,2026-07-16T03:07:00.507452+00:00,2026-07-16T03:15:40.335676+00:00,real_congestion_breach_016
congestion_breach,2026-07-16T03:39:53.948672+00:00,2026-07-16T03:48:00.404951+00:00,real_congestion_breach_017
tunnel_degradation,2026-07-16T04:15:25.331877+00:00,2026-07-16T04:20:57.811477+00:00,real_tunnel_degradation_018
precursor_aborted,2026-07-16T05:01:20.708027+00:00,2026-07-16T05:02:08.898639+00:00,real_near_miss_019
vrf_leakage,2026-07-16T05:07:29.417212+00:00,2026-07-16T05:16:11.657740+00:00,real_vrf_leakage_019
bgp_route_flap,2026-07-16T05:40:45.019897+00:00,2026-07-16T05:49:26.717976+00:00,real_bgp_route_flap_020
