fault_type,fault_start,breach_time,run_id
bgp_route_flap,2026-07-22T04:40:35.831748+00:00,2026-07-22T04:49:19.049082+00:00,compound_bgp_route_flap_01_bgp_route_flap
vrf_leakage,2026-07-22T04:40:35.832098+00:00,2026-07-22T04:47:21.918261+00:00,compound_bgp_route_flap_01_vrf_leakage
bgp_route_flap,2026-07-22T05:00:25.751474+00:00,2026-07-22T05:07:38.603090+00:00,compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-22T05:00:25.751566+00:00,2026-07-22T05:08:17.048881+00:00,compound_bgp_route_flap_02_vrf_leakage
bgp_route_flap,2026-07-22T05:23:41.479718+00:00,2026-07-22T05:30:24.425059+00:00,compound_bgp_route_flap_03_bgp_route_flap
vrf_leakage,2026-07-22T05:23:41.479900+00:00,2026-07-22T05:31:09.128071+00:00,compound_bgp_route_flap_03_vrf_leakage
bgp_route_flap,2026-07-22T05:46:12.457883+00:00,2026-07-22T05:55:25.086084+00:00,compound_bgp_route_flap_04_bgp_route_flap
vrf_leakage,2026-07-22T05:46:12.458191+00:00,2026-07-22T05:54:54.129639+00:00,compound_bgp_route_flap_04_vrf_leakage
tunnel_degradation,2026-07-22T06:09:36.423415+00:00,2026-07-22T06:17:23.418035+00:00,compound_tunnel_degradation_01_tunnel_degradation
vrf_leakage,2026-07-22T06:09:36.423536+00:00,2026-07-22T06:15:02.158816+00:00,compound_tunnel_degradation_01_vrf_leakage
bgp_route_flap,2026-07-22T06:31:10.814544+00:00,2026-07-22T06:38:49.899271+00:00,compound_bgp_route_flap_05_bgp_route_flap
vrf_leakage,2026-07-22T06:31:10.814702+00:00,2026-07-22T06:38:15.675060+00:00,compound_bgp_route_flap_05_vrf_leakage
tunnel_degradation,2026-07-22T06:53:49.381555+00:00,2026-07-22T07:01:27.197982+00:00,compound_tunnel_degradation_02_tunnel_degradation
vrf_leakage,2026-07-22T06:53:49.381735+00:00,2026-07-22T06:59:12.631051+00:00,compound_tunnel_degradation_02_vrf_leakage
tunnel_degradation,2026-07-22T07:13:24.361581+00:00,2026-07-22T07:21:01.272049+00:00,compound_tunnel_degradation_03_tunnel_degradation
vrf_leakage,2026-07-22T07:13:24.361861+00:00,2026-07-22T07:20:09.843046+00:00,compound_tunnel_degradation_03_vrf_leakage
tunnel_degradation,2026-07-22T07:37:52.693416+00:00,2026-07-22T07:45:17.077062+00:00,compound_tunnel_degradation_04_tunnel_degradation
vrf_leakage,2026-07-22T07:37:52.693596+00:00,2026-07-22T07:44:57.377044+00:00,compound_tunnel_degradation_04_vrf_leakage
tunnel_degradation,2026-07-22T07:58:39.285010+00:00,2026-07-22T08:06:34.078211+00:00,compound_tunnel_degradation_05_tunnel_degradation
vrf_leakage,2026-07-22T07:58:39.285164+00:00,2026-07-22T08:07:22.808974+00:00,compound_tunnel_degradation_05_vrf_leakage
bgp_route_flap,2026-07-22T08:21:10.688461+00:00,2026-07-22T08:31:39.667047+00:00,compound_bgp_route_flap_06_bgp_route_flap
vrf_leakage,2026-07-22T08:21:10.688605+00:00,2026-07-22T08:28:52.884088+00:00,compound_bgp_route_flap_06_vrf_leakage
tunnel_degradation,2026-07-22T08:46:28.512504+00:00,2026-07-22T08:53:08.996786+00:00,compound_tunnel_degradation_06_tunnel_degradation
vrf_leakage,2026-07-22T08:46:28.512652+00:00,2026-07-22T08:51:46.313051+00:00,compound_tunnel_degradation_06_vrf_leakage
