fault_type,fault_start,breach_time,run_id
congestion_breach,2026-07-19T12:10:45.579471+00:00,2026-07-19T12:17:21.851526+00:00,compound_congestion_breach_01_congestion_breach
vrf_leakage,2026-07-19T12:10:45.579981+00:00,2026-07-19T12:18:26.681045+00:00,compound_congestion_breach_01_vrf_leakage
congestion_breach,2026-07-19T12:36:30.280502+00:00,2026-07-19T12:48:48.156079+00:00,compound_congestion_breach_02_congestion_breach
vrf_leakage,2026-07-19T12:36:30.280706+00:00,2026-07-19T12:42:52.149052+00:00,compound_congestion_breach_02_vrf_leakage
tunnel_degradation,2026-07-19T12:59:16.034857+00:00,2026-07-19T13:05:31.298037+00:00,compound_tunnel_degradation_01_tunnel_degradation
vrf_leakage,2026-07-19T12:59:16.035154+00:00,2026-07-19T13:06:48.416638+00:00,compound_tunnel_degradation_01_vrf_leakage
tunnel_degradation,2026-07-19T13:22:52.425754+00:00,2026-07-19T13:29:02.619293+00:00,compound_tunnel_degradation_02_tunnel_degradation
vrf_leakage,2026-07-19T13:22:52.426106+00:00,2026-07-19T13:27:41.826310+00:00,compound_tunnel_degradation_02_vrf_leakage
bgp_route_flap,2026-07-19T13:42:00.440644+00:00,2026-07-19T13:48:46.948973+00:00,compound_bgp_route_flap_01_bgp_route_flap
vrf_leakage,2026-07-19T13:42:00.440855+00:00,2026-07-19T13:46:38.243041+00:00,compound_bgp_route_flap_01_vrf_leakage
bgp_route_flap,2026-07-19T13:58:43.617584+00:00,2026-07-19T14:04:53.107512+00:00,compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-19T13:58:43.617751+00:00,2026-07-19T14:05:32.275579+00:00,compound_bgp_route_flap_02_vrf_leakage
