fault_type,fault_start,breach_time,run_id
congestion_breach,2026-07-19T15:21:06.204356+00:00,2026-07-19T15:31:57.833485+00:00,compound_congestion_breach_01_congestion_breach
vrf_leakage,2026-07-19T15:21:06.204637+00:00,2026-07-19T15:28:22.046056+00:00,compound_congestion_breach_01_vrf_leakage
congestion_breach,2026-07-19T15:47:16.338491+00:00,2026-07-19T15:56:38.221064+00:00,compound_congestion_breach_02_congestion_breach
vrf_leakage,2026-07-19T15:47:16.338795+00:00,2026-07-19T15:54:05.040047+00:00,compound_congestion_breach_02_vrf_leakage
congestion_breach,2026-07-19T16:10:32.258414+00:00,2026-07-19T16:21:55.803290+00:00,compound_congestion_breach_03_congestion_breach
vrf_leakage,2026-07-19T16:10:32.258625+00:00,2026-07-19T16:15:10.577816+00:00,compound_congestion_breach_03_vrf_leakage
tunnel_degradation,2026-07-19T16:35:24.585879+00:00,2026-07-19T16:41:09.549533+00:00,compound_tunnel_degradation_01_tunnel_degradation
vrf_leakage,2026-07-19T16:35:24.586171+00:00,2026-07-19T16:40:15.714954+00:00,compound_tunnel_degradation_01_vrf_leakage
congestion_breach,2026-07-19T16:54:54.976935+00:00,2026-07-19T17:08:40.335478+00:00,compound_congestion_breach_04_congestion_breach
vrf_leakage,2026-07-19T16:54:54.977155+00:00,2026-07-19T17:00:12.712210+00:00,compound_congestion_breach_04_vrf_leakage
bgp_route_flap,2026-07-19T17:19:46.767824+00:00,2026-07-19T17:26:25.196892+00:00,compound_bgp_route_flap_01_bgp_route_flap
vrf_leakage,2026-07-19T17:19:46.768207+00:00,2026-07-19T17:28:45.780715+00:00,compound_bgp_route_flap_01_vrf_leakage
tunnel_degradation,2026-07-19T17:45:36.100239+00:00,2026-07-19T17:54:38.166092+00:00,compound_tunnel_degradation_02_tunnel_degradation
vrf_leakage,2026-07-19T17:45:36.100540+00:00,2026-07-19T17:51:52.130028+00:00,compound_tunnel_degradation_02_vrf_leakage
tunnel_degradation,2026-07-19T18:07:43.329641+00:00,2026-07-19T18:17:21.212297+00:00,compound_tunnel_degradation_03_tunnel_degradation
vrf_leakage,2026-07-19T18:07:43.329904+00:00,2026-07-19T18:14:16.474624+00:00,compound_tunnel_degradation_03_vrf_leakage
tunnel_degradation,2026-07-19T18:29:42.588648+00:00,2026-07-19T18:38:38.907034+00:00,compound_tunnel_degradation_04_tunnel_degradation
vrf_leakage,2026-07-19T18:29:42.588852+00:00,2026-07-19T18:38:11.838080+00:00,compound_tunnel_degradation_04_vrf_leakage
bgp_route_flap,2026-07-19T18:56:04.763642+00:00,2026-07-19T19:06:16.673422+00:00,compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-19T18:56:04.763808+00:00,2026-07-19T19:03:46.816033+00:00,compound_bgp_route_flap_02_vrf_leakage
bgp_route_flap,2026-07-19T19:18:53.336330+00:00,2026-07-19T19:29:57.851386+00:00,compound_bgp_route_flap_03_bgp_route_flap
vrf_leakage,2026-07-19T19:18:53.336556+00:00,2026-07-19T19:23:57.325824+00:00,compound_bgp_route_flap_03_vrf_leakage
bgp_route_flap,2026-07-19T19:40:18.907866+00:00,2026-07-19T19:51:54.267098+00:00,compound_bgp_route_flap_04_bgp_route_flap
vrf_leakage,2026-07-19T19:40:18.908113+00:00,2026-07-19T19:49:08.235817+00:00,compound_bgp_route_flap_04_vrf_leakage
