fault_type,fault_start,breach_time,run_id
precursor_aborted,2026-07-17T18:28:59.568203+00:00,2026-07-17T18:29:25.660807+00:00,real_nm_pe1_001
precursor_aborted,2026-07-17T18:34:14.325056+00:00,2026-07-17T18:34:45.489714+00:00,real_nm_pe1_002
precursor_aborted,2026-07-17T18:41:33.438371+00:00,2026-07-17T18:42:21.093352+00:00,real_nm_pe1_003
precursor_aborted,2026-07-17T18:47:49.410620+00:00,2026-07-17T18:48:30.544576+00:00,real_nm_pe1_004
precursor_aborted,2026-07-17T18:55:00.675292+00:00,2026-07-17T18:55:47.880618+00:00,real_nm_pe1_005
precursor_aborted,2026-07-17T19:02:01.357672+00:00,2026-07-17T19:02:52.462759+00:00,real_nm_pe1_006
precursor_aborted,2026-07-17T19:09:18.875450+00:00,2026-07-17T19:10:00.440569+00:00,real_nm_pe1_007
precursor_aborted,2026-07-17T19:15:18.893667+00:00,2026-07-17T19:16:00.029789+00:00,real_nm_pe1_008
precursor_aborted,2026-07-17T19:20:43.737531+00:00,2026-07-17T19:21:14.966099+00:00,real_nm_pe2_001
precursor_aborted,2026-07-17T19:26:21.222984+00:00,2026-07-17T19:26:58.446341+00:00,real_nm_pe2_002
precursor_aborted,2026-07-17T19:32:50.459684+00:00,2026-07-17T19:33:32.675274+00:00,real_nm_pe2_003
precursor_aborted,2026-07-17T19:40:13.002407+00:00,2026-07-17T19:40:59.066538+00:00,real_nm_pe2_004
tunnel_degradation,2026-07-17T19:45:55.867306+00:00,2026-07-17T19:51:08.367974+00:00,real_spec_tunnel_degradation_001
congestion_breach,2026-07-17T20:05:34.577598+00:00,2026-07-17T20:16:36.235301+00:00,real_spec_congestion_breach_001
vrf_leakage,2026-07-17T20:31:20.461849+00:00,2026-07-17T20:35:39.495882+00:00,real_spec_vrf_leakage_001
bgp_route_flap,2026-07-17T20:54:01.448444+00:00,2026-07-17T21:04:10.655986+00:00,real_spec_bgp_route_flap_001
tunnel_degradation,2026-07-17T21:15:35.060653+00:00,2026-07-17T21:22:34.594754+00:00,real_spec_tunnel_degradation_002
congestion_breach,2026-07-17T21:37:09.211592+00:00,2026-07-17T21:47:02.032704+00:00,real_spec_congestion_breach_002
vrf_leakage,2026-07-17T22:01:32.466921+00:00,2026-07-17T22:07:51.916328+00:00,real_spec_vrf_leakage_002
bgp_route_flap,2026-07-17T22:23:26.098490+00:00,2026-07-17T22:32:46.756561+00:00,real_spec_bgp_route_flap_002
tunnel_degradation,2026-07-17T22:45:06.203062+00:00,2026-07-17T22:54:03.041832+00:00,real_spec_tunnel_degradation_003
congestion_breach,2026-07-17T23:06:30.852105+00:00,2026-07-17T23:16:12.597253+00:00,real_spec_congestion_breach_003
vrf_leakage,2026-07-17T23:32:05.861293+00:00,2026-07-17T23:37:22.585046+00:00,real_spec_vrf_leakage_003
bgp_route_flap,2026-07-17T23:51:50.406972+00:00,2026-07-18T00:02:44.022694+00:00,real_spec_bgp_route_flap_003
