fault_type,fault_start,breach_time,run_id
bgp_route_flap,2026-07-21T06:22:53.407382+00:00,2026-07-21T06:31:57.466101+00:00,compound_bgp_route_flap_01_bgp_route_flap
vrf_leakage,2026-07-21T06:22:53.407595+00:00,2026-07-21T06:28:10.152639+00:00,compound_bgp_route_flap_01_vrf_leakage
bgp_route_flap,2026-07-21T06:40:40.760520+00:00,2026-07-21T06:47:50.125046+00:00,compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-21T06:40:40.760669+00:00,2026-07-21T06:49:09.672884+00:00,compound_bgp_route_flap_02_vrf_leakage
bgp_route_flap,2026-07-21T07:05:43.168706+00:00,2026-07-21T07:13:00.878882+00:00,compound_bgp_route_flap_03_bgp_route_flap
vrf_leakage,2026-07-21T07:05:43.168884+00:00,2026-07-21T07:13:37.573116+00:00,compound_bgp_route_flap_03_vrf_leakage
bgp_route_flap,2026-07-21T07:28:39.652607+00:00,2026-07-21T07:36:48.167902+00:00,compound_bgp_route_flap_04_bgp_route_flap
vrf_leakage,2026-07-21T07:28:39.652916+00:00,2026-07-21T07:37:32.903095+00:00,compound_bgp_route_flap_04_vrf_leakage
bgp_route_flap,2026-07-21T07:50:51.421069+00:00,2026-07-21T08:00:30.836231+00:00,compound_bgp_route_flap_05_bgp_route_flap
vrf_leakage,2026-07-21T07:50:51.421311+00:00,2026-07-21T07:58:29.144094+00:00,compound_bgp_route_flap_05_vrf_leakage
bgp_route_flap,2026-07-21T08:13:32.179542+00:00,2026-07-21T08:22:45.493053+00:00,compound_bgp_route_flap_06_bgp_route_flap
vrf_leakage,2026-07-21T08:13:32.179749+00:00,2026-07-21T08:21:30.409055+00:00,compound_bgp_route_flap_06_vrf_leakage
