fault_type,fault_start,breach_time,run_id
tunnel_degradation,2026-07-20T14:22:25.876953+00:00,2026-07-20T14:29:37.419097+00:00,compound_tunnel_degradation_01_tunnel_degradation
vrf_leakage,2026-07-20T14:22:25.877459+00:00,2026-07-20T14:30:54.752847+00:00,compound_tunnel_degradation_01_vrf_leakage
tunnel_degradation,2026-07-20T14:45:56.652443+00:00,2026-07-20T14:53:58.827037+00:00,compound_tunnel_degradation_02_tunnel_degradation
vrf_leakage,2026-07-20T14:45:56.652571+00:00,2026-07-20T14:51:41.448973+00:00,compound_tunnel_degradation_02_vrf_leakage
tunnel_degradation,2026-07-20T15:42:50.832414+00:00,2026-07-20T15:49:06.373718+00:00,compound_tunnel_degradation_03_tunnel_degradation
vrf_leakage,2026-07-20T15:42:50.832611+00:00,2026-07-20T15:47:00.300440+00:00,compound_tunnel_degradation_03_vrf_leakage
congestion_breach,2026-07-20T16:03:23.292369+00:00,2026-07-20T16:14:14.819059+00:00,compound_congestion_breach_01_congestion_breach
vrf_leakage,2026-07-20T16:03:23.292548+00:00,2026-07-20T16:12:02.930590+00:00,compound_congestion_breach_01_vrf_leakage
congestion_breach,2026-07-20T16:28:46.775644+00:00,2026-07-20T16:39:54.527062+00:00,compound_congestion_breach_02_congestion_breach
vrf_leakage,2026-07-20T16:28:46.775804+00:00,2026-07-20T16:35:51.270847+00:00,compound_congestion_breach_02_vrf_leakage
congestion_breach,2026-07-20T16:53:05.912034+00:00,2026-07-20T17:06:30.354085+00:00,compound_congestion_breach_03_congestion_breach
vrf_leakage,2026-07-20T16:53:05.912206+00:00,2026-07-20T17:01:30.943053+00:00,compound_congestion_breach_03_vrf_leakage
congestion_breach,2026-07-20T17:21:48.438502+00:00,2026-07-20T17:32:53.668158+00:00,compound_congestion_breach_04_congestion_breach
vrf_leakage,2026-07-20T17:21:48.438662+00:00,2026-07-20T17:30:25.760091+00:00,compound_congestion_breach_04_vrf_leakage
tunnel_degradation,2026-07-20T17:48:27.659109+00:00,2026-07-20T17:53:24.618053+00:00,compound_tunnel_degradation_04_tunnel_degradation
vrf_leakage,2026-07-20T17:48:27.659485+00:00,2026-07-20T17:57:05.844788+00:00,compound_tunnel_degradation_04_vrf_leakage
