fault_type,fault_start,breach_time,run_id
bgp_route_flap,2026-07-20T02:57:38.361582+00:00,2026-07-20T03:06:17.067138+00:00,compound_bgp_route_flap_01_bgp_route_flap
vrf_leakage,2026-07-20T02:57:38.362049+00:00,2026-07-20T03:04:22.795073+00:00,compound_bgp_route_flap_01_vrf_leakage
bgp_route_flap,2026-07-20T03:19:28.720251+00:00,2026-07-20T03:30:24.106856+00:00,compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-20T03:19:28.720583+00:00,2026-07-20T03:23:39.793438+00:00,compound_bgp_route_flap_02_vrf_leakage
congestion_breach,2026-07-20T03:41:16.345556+00:00,2026-07-20T03:53:04.308538+00:00,compound_congestion_breach_01_congestion_breach
vrf_leakage,2026-07-20T03:41:16.345785+00:00,2026-07-20T03:50:08.452282+00:00,compound_congestion_breach_01_vrf_leakage
congestion_breach,2026-07-20T04:06:35.611542+00:00,2026-07-20T04:16:29.976461+00:00,compound_congestion_breach_02_congestion_breach
vrf_leakage,2026-07-20T04:06:35.611749+00:00,2026-07-20T04:15:33.825300+00:00,compound_congestion_breach_02_vrf_leakage
tunnel_degradation,2026-07-20T04:28:44.138638+00:00,2026-07-20T04:33:31.230034+00:00,compound_tunnel_degradation_01_tunnel_degradation
vrf_leakage,2026-07-20T04:28:44.138849+00:00,2026-07-20T04:33:00.891386+00:00,compound_tunnel_degradation_01_vrf_leakage
tunnel_degradation,2026-07-20T04:46:00.379298+00:00,2026-07-20T04:52:24.995595+00:00,compound_tunnel_degradation_02_tunnel_degradation
vrf_leakage,2026-07-20T04:46:00.379560+00:00,2026-07-20T04:54:46.098393+00:00,compound_tunnel_degradation_02_vrf_leakage
