family,rare_boost,exam_macro_f1,exam_mean_rare_recall,val_macro_f1,gate_thr
plain,1.0,0.7636511850745953,0.618101521326512,0.7650469786590384,0.5
plain,1.5,0.7622956090174361,0.6239088649304854,0.7622218832242357,0.5
plain,2.0,0.7593606392713753,0.6272617567997225,0.7567533066583302,0.5
plain,3.0,0.7597457353310901,0.6304948165062482,0.7613586581447225,0.5
wm,1.0,0.7641920407544074,0.6182213534892236,0.7641843022009903,0.5
wm,1.5,0.7616205065437813,0.622771362642233,0.761256726298368,0.5
wm,2.0,0.7617629821278289,0.6300757050225935,0.7588947048595515,0.5
wm,3.0,0.757866015465016,0.6306146486689597,0.7597776245952219,0.5
moe,1.0,0.7346109180865692,0.5827155051979458,0.734655351258558,0.5
moe,1.5,0.7373887024949634,0.5931932922893122,0.7389595052534057,0.5
moe,2.0,0.738724416490149,0.5978035186095134,0.7419483606851369,0.5
moe,3.0,0.7379344098876994,0.596366737000318,0.7434162228728839,0.5
